STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-29,0,85,93,80
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-30,0,86,93,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-31,0.08,85,,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-01,0,85,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-02,0.08,78,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-03,2.36,81,91,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-04,0,82,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-05,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-06,,85,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-07,,83,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-08,0,84,90,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-09,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-11,,84,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-12,,85,92,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-13,,84,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-14,,85,94,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-15,,85,94,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-16,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-17,,80,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-18,0,84,93,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-19,0,83,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-20,0,80,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-21,,84,92,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-22,,86,92,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-23,1.57,78,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-24,2.13,83,92,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-25,0.24,79,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-26,0.04,80,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-27,0,83,90,70
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-28,,83,90,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-29,0.12,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-30,0,81,90,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-01,0.63,81,87,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-02,0,81,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-03,,84,90,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-04,,75,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-05,0.35,78,,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-06,0,77,84,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-07,0.67,81,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-08,0,84,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-09,0.94,81,,69
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-10,0.79,82,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-11,0,82,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-12,,85,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-13,0,83,91,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-14,,83,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-15,,76,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-16,1.1,80,,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-17,0,83,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-18,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-19,,83,89,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-20,,83,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-21,,82,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-22,0,82,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-23,,85,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-24,,83,,68
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-25,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-26,,81,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-27,,82,90,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-28,,80,87,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-29,0,80,90,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-30,,80,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-31,,83,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-01,,85,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-02,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-03,0.04,81,88,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-04,0,82,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-05,0,83,89,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-06,0,82,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-07,0,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-08,,81,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-09,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-10,,83,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-11,,83,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-12,0.83,79,,70
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-13,0.04,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-14,0.39,78,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-15,0.83,82,88,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-16,0,80,87,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-17,,83,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-18,0,82,87,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-19,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-20,,80,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-21,,79,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-22,,80,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-23,0,82,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-24,,77,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-25,0.63,79,83,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-26,0,78,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-27,0.08,75,78,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-28,0.16,76,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-29,0.28,78,82,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-30,0,78,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-01,0,77,81,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-02,,78,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-03,0.01,77,,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-04,0,78,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-05,,78,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-06,0.08,78,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-07,0.08,76,78,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-08,0.2,76,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-09,0.75,77,81,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-10,0,77,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-11,,78,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-12,,78,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-13,,76,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-14,,76,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-15,,76,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-16,,77,80,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-17,,77,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-18,0.04,76,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-19,0,76,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-20,,77,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-21,,77,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-22,,77,81,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-23,,74,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-27,,76,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-28,,74,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-29,,76,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-31,,78,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-01,,77,84,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-02,,75,,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-03,,76,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-04,,76,81,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-05,,75,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-06,0,76,85,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-07,,76,85,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-08,0.02,77,83,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-09,0,75,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-10,,76,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-11,0,74,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-12,,78,,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-13,,76,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-14,,76,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-15,0,76,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-16,,74,81,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-17,0,75,84,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-18,0,74,84,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-19,,77,,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-20,,77,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-21,,78,85,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-22,,76,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-23,,77,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-24,,78,87,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-25,,78,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-26,0,76,82,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-27,0,77,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-28,,76,83,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-29,,78,84,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-30,,79,85,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-31,,80,85,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-01,,80,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-02,,77,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-03,0,76,79,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-04,,78,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-05,,77,84,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-06,,78,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-07,,78,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-08,,78,85,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-09,,79,84,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-10,,78,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-11,0,77,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-12,,79,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-13,,78,85,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-22,,80,87,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-23,0,80,88,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-24,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-25,,80,87,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-26,,77,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-27,0,78,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-28,,78,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-29,,79,86,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-30,,80,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-01,0,81,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-02,,78,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-03,,78,88,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-04,,78,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-05,0.01,80,89,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-06,0,77,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-07,0.51,79,86,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-08,0.2,79,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-09,0,82,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-10,0,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-11,0.08,81,89,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-12,0.01,80,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-13,0,82,89,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-14,,78,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-15,0.28,80,,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-16,0,81,88,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-17,,79,83,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-18,,77,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-19,,81,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-20,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-21,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-22,,81,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-23,,83,88,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-24,,83,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-25,0.08,83,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-26,0,82,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-27,,81,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-28,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-29,,83,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-30,,83,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-31,,83,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-01,,83,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-02,0.75,79,86,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-03,0,82,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-04,,82,89,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-05,0,84,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-06,,82,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-07,,82,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-08,,83,90,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-09,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-10,0,81,88,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-11,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-12,0.02,83,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-13,0,83,90,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-14,,83,91,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-15,0,82,89,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-16,,83,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-17,0,83,91,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-18,0,83,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-19,0,83,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-20,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-21,,83,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-22,,83,91,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-23,,82,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-24,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-25,,83,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-26,,84,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-27,0.04,81,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-28,0,82,89,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-29,,83,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-30,,83,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-01,,84,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-02,,82,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-03,,83,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-04,,83,90,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-05,,83,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-06,0.2,82,,69
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-07,0,78,88,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-08,0.12,78,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-09,0,83,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-10,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-11,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-12,,81,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-13,,78,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-14,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-15,,81,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-16,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-17,0.83,80,88,70
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-18,0,81,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-19,,82,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-20,,85,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-21,,80,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-22,,86,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-12-23,,80,90,
